gender,sleep_hours,doom_scrolling_time,productive_screen_time,study_hours,medical_issue,drug_addiction,math_score,physics_score,chemistry_score,biology_score,english_score,performance
female,7.3,4.6,4.4,0.0,no,no,86,43,5,5,12,Worst
female,7.0,6.2,5.2,4.0,no,no,95,13,36,49,42,Just Pass
female,5.8,5.7,3.9,3.5,no,no,49,22,45,65,64,Just Pass
female,8.0,5.7,3.3,1.7,no,no,74,13,30,0,27,Worst
male,8.4,5.9,3.2,5.1,no,no,49,55,21,15,76,Just Pass
female,4.6,3.6,2.8,2.2,no,no,56,2,11,9,16,Worst
female,5.9,3.1,5.6,2.7,no,no,39,36,93,45,68,Decent
male,5.8,4.7,2.7,3.0,no,no,16,61,37,63,40,Just Pass
female,5.6,4.5,5.7,2.3,no,no,78,39,25,100,54,Decent
male,8.2,2.4,4.0,3.5,no,no,10,80,58,35,66,Just Pass
female,6.7,3.8,3.0,5.3,no,no,67,49,13,23,15,Just Pass
male,6.6,2.9,5.2,0.7,no,no,88,99,62,43,94,Nice
female,4.0,1.3,2.5,4.0,no,no,30,100,32,22,86,Decent
female,8.0,5.6,5.3,3.3,yes,no,21,67,47,0,32,Just Pass
male,5.1,3.1,4.4,3.3,no,no,66,100,69,64,62,Nice
male,7.1,7.1,2.8,4.7,no,no,24,20,80,87,3,Just Pass
male,7.4,0.0,5.1,3.1,no,no,100,91,38,100,65,Nice
male,9.0,1.9,5.1,4.0,no,no,50,46,60,24,56,Just Pass
male,5.0,3.1,6.3,4.4,yes,no,57,71,95,13,36,Decent
male,2.5,5.3,5.9,2.0,no,no,13,28,63,40,72,Just Pass
male,7.3,3.8,5.0,3.6,no,no,12,36,100,44,26,Just Pass
male,9.7,3.6,1.7,2.5,no,no,18,96,93,71,18,Decent
female,8.9,0.7,8.9,2.7,no,no,23,39,80,68,71,Decent
female,7.3,0.7,1.2,2.4,no,no,53,82,33,9,75,Decent
male,6.3,3.6,5.9,3.9,no,no,69,78,86,39,13,Decent
female,8.2,0.3,4.9,3.2,no,no,20,46,85,100,70,Decent
female,5.5,1.9,1.7,3.8,no,no,18,54,67,60,38,Just Pass
female,7.7,4.0,3.8,3.0,no,yes,27,0,48,58,54,Just Pass
female,7.8,1.0,3.8,0.0,no,no,82,95,64,43,49,Decent
male,8.6,6.2,6.6,3.1,no,no,65,99,54,70,86,Nice
female,11.1,5.4,2.6,3.1,no,no,9,72,40,15,38,Just Pass
male,7.6,0.0,3.5,3.5,yes,no,88,84,4,73,82,Decent
female,6.2,1.1,0.0,1.8,yes,no,78,0,73,65,58,Decent
female,7.0,0.0,7.5,0.6,no,no,45,51,99,22,95,Decent
female,4.3,1.4,1.9,4.2,no,no,70,42,68,27,90,Decent
male,6.0,4.5,4.7,2.5,no,no,52,59,29,49,51,Just Pass
female,6.4,2.2,3.8,3.3,no,no,100,28,12,73,46,Decent
male,6.2,3.9,3.8,2.4,no,no,53,59,3,66,79,Decent
female,7.2,0.0,5.6,3.0,no,no,100,82,24,83,53,Decent
male,5.8,4.6,7.3,2.1,no,no,24,18,40,76,13,Just Pass
female,8.7,1.9,4.5,1.1,no,no,39,18,23,55,90,Just Pass
male,7.0,3.0,5.3,3.9,no,no,90,15,38,69,51,Decent
male,7.0,2.8,4.7,1.8,no,no,83,81,74,5,18,Decent
female,6.5,0.5,6.0,3.3,no,no,90,50,100,33,81,Decent
male,7.2,0.7,3.1,3.8,no,no,99,36,34,63,100,Decent
female,8.2,4.9,6.2,1.8,no,no,72,79,48,76,88,Nice
female,5.7,3.8,6.2,0.6,no,no,64,15,100,81,56,Decent
female,6.0,5.1,6.2,7.9,no,no,65,62,100,92,28,Decent
female,6.5,3.6,2.7,1.9,no,no,46,74,35,48,69,Decent
female,5.0,3.3,3.7,4.2,no,no,49,66,40,37,69,Decent
female,5.8,0.0,4.5,6.9,no,no,89,82,51,71,48,Decent
female,6.3,2.5,1.3,4.6,no,no,49,24,24,9,99,Just Pass
female,8.3,2.9,7.2,2.4,no,no,24,28,56,69,18,Just Pass
female,7.4,6.9,4.0,2.9,no,no,7,55,31,4,34,Worst
female,7.3,4.4,4.6,1.3,no,no,91,1,73,13,8,Just Pass
female,8.3,6.1,2.8,4.8,no,no,5,89,26,65,94,Decent
male,6.8,4.2,1.3,4.1,no,no,13,38,76,4,6,Worst
male,7.6,1.6,2.8,2.0,no,no,50,47,34,63,48,Just Pass
female,6.8,3.2,4.4,0.9,no,no,27,26,60,64,87,Decent
female,7.4,3.5,5.3,0.4,no,no,40,87,63,78,25,Decent
female,6.1,1.1,4.3,5.0,no,no,29,82,85,24,28,Just Pass
female,3.3,2.2,4.7,3.2,no,no,17,48,21,4,16,Worst
female,6.8,2.6,3.3,3.4,no,no,88,66,36,84,48,Decent
female,9.1,6.2,5.0,1.4,no,no,71,34,20,25,38,Just Pass
female,8.4,0.0,7.0,0.1,no,no,20,56,67,98,81,Decent
female,8.4,5.4,5.4,4.9,no,no,75,44,16,27,32,Just Pass
male,8.9,1.1,5.6,3.1,no,no,74,55,65,72,84,Decent
female,7.1,0.3,4.6,4.8,yes,no,76,36,13,15,100,Just Pass
male,7.3,5.4,1.0,2.2,no,no,41,1,27,34,80,Just Pass
female,6.1,4.5,1.9,2.5,no,no,25,2,67,87,62,Just Pass
female,6.5,5.5,4.9,4.4,no,no,72,23,47,66,99,Decent
male,7.9,4.6,4.0,4.5,no,no,45,33,36,76,100,Decent
female,8.8,7.1,4.9,4.6,no,no,24,92,64,25,60,Decent
male,6.8,4.1,7.4,2.4,no,no,48,69,82,100,35,Decent
female,6.3,2.7,5.5,4.2,no,no,90,100,39,76,100,Good
female,7.0,3.7,6.5,5.2,no,no,63,49,45,26,100,Decent
male,7.9,5.5,4.2,2.8,no,no,29,40,64,1,8,Worst
female,4.8,1.4,2.4,2.0,no,no,88,76,100,6,98,Nice
male,3.6,1.7,3.9,5.7,no,no,100,70,34,18,49,Decent
female,6.2,2.4,2.4,1.7,no,no,45,54,67,93,34,Decent
male,5.2,0.0,7.1,4.3,no,no,60,80,100,58,57,Nice
male,6.2,3.3,5.6,2.9,no,no,69,66,54,37,40,Decent
female,6.8,0.0,5.0,0.0,no,no,12,83,38,48,58,Just Pass
female,6.3,3.1,6.5,5.3,no,no,86,83,83,57,74,Nice
male,9.2,4.7,0.0,0.0,no,no,66,83,0,11,30,Just Pass
female,7.5,2.0,5.2,0.0,no,no,41,96,38,11,43,Just Pass
female,7.5,6.4,1.4,4.1,no,no,15,40,23,8,71,Worst
female,7.9,0.1,4.0,4.1,no,no,20,21,40,77,18,Just Pass
male,5.3,5.4,3.4,1.7,no,no,59,0,13,35,90,Just Pass
male,8.6,4.4,5.3,3.3,no,no,32,18,79,96,77,Decent
male,6.9,0.0,4.5,0.0,no,no,52,13,100,52,76,Decent
male,8.0,8.4,6.7,4.4,no,no,40,39,40,52,44,Just Pass
male,5.4,2.9,2.8,3.5,no,no,24,12,11,99,100,Just Pass
male,4.7,1.2,5.4,2.9,no,no,62,74,83,62,12,Decent
male,8.2,0.2,4.3,3.0,no,no,59,33,67,64,21,Just Pass
male,7.6,2.6,0.7,4.0,no,no,68,57,78,42,86,Decent
male,5.6,2.7,2.2,2.9,no,no,30,15,69,76,78,Decent
female,5.7,3.2,3.7,0.0,no,no,18,79,87,36,24,Just Pass
male,8.7,2.4,6.2,7.4,no,no,100,100,39,83,84,Good
female,5.2,4.3,4.9,5.4,no,no,82,50,28,56,65,Decent
female,9.5,2.2,1.7,0.4,no,no,75,89,32,50,50,Decent
female,5.6,0.0,3.7,2.3,no,no,24,30,61,94,71,Decent
male,8.0,2.7,8.0,2.5,yes,no,19,78,89,38,96,Decent
male,6.5,0.0,4.2,5.2,no,no,78,75,100,44,100,Nice
male,7.9,3.7,3.3,0.0,no,no,80,27,82,52,93,Decent
male,6.2,1.0,5.0,2.0,no,no,100,19,33,100,65,Decent
female,6.8,3.3,5.5,0.0,no,no,83,17,72,69,31,Decent
male,7.1,5.6,3.1,2.4,no,no,1,83,35,27,53,Just Pass
male,5.5,1.1,5.0,2.1,no,no,93,71,100,100,73,Good
male,8.1,5.1,3.3,3.2,yes,no,75,9,7,20,17,Worst
male,6.2,2.1,5.4,1.8,no,no,13,57,22,100,71,Decent
male,6.7,6.5,4.3,1.5,no,no,35,4,78,13,56,Just Pass
female,5.5,2.3,5.0,4.2,no,no,67,23,85,100,100,Nice
male,3.2,1.3,2.5,3.9,no,no,28,95,87,12,28,Decent
female,6.7,4.4,2.4,4.1,yes,no,40,34,4,60,58,Just Pass
male,10.6,2.1,5.9,2.6,no,no,99,47,99,85,56,Nice
female,8.2,1.3,3.8,1.9,no,no,94,100,75,75,20,Nice
male,7.0,2.0,4.6,2.8,no,no,100,49,75,87,41,Decent
male,6.6,2.9,3.4,4.0,no,no,57,42,67,56,14,Just Pass
female,7.0,5.7,5.8,0.0,no,no,35,21,70,0,25,Worst
female,7.8,0.0,2.8,3.8,no,no,81,71,56,50,21,Decent
female,5.2,3.0,3.7,3.6,no,no,49,63,21,72,100,Decent
male,8.7,4.2,5.6,3.1,no,no,11,8,60,71,17,Just Pass
female,8.1,3.4,6.3,2.7,no,no,80,74,83,28,90,Nice
male,8.1,5.6,3.0,0.0,no,no,18,68,5,15,80,Just Pass
male,7.7,2.9,7.9,2.1,no,no,14,71,32,58,56,Just Pass
female,7.0,2.6,4.6,6.6,no,no,22,100,89,92,25,Decent
female,8.0,4.2,1.9,3.0,no,no,94,28,27,86,60,Decent
male,7.9,3.2,4.7,2.4,no,no,31,25,22,14,29,Worst
male,6.5,2.2,3.2,3.0,no,no,52,77,96,100,25,Decent
female,6.1,4.0,4.9,3.7,no,no,100,26,24,100,64,Decent
female,7.2,1.7,3.9,4.3,no,no,60,23,48,14,49,Just Pass
female,9.3,1.8,4.1,2.5,no,no,16,18,51,59,82,Just Pass
male,5.1,1.9,2.2,3.8,no,no,64,85,56,67,68,Decent
male,4.8,5.7,6.0,6.4,yes,no,6,0,34,53,80,Just Pass
male,7.2,0.0,1.7,5.0,no,no,26,45,100,78,22,Decent
male,7.1,3.8,1.8,7.7,no,no,100,28,81,66,39,Decent
male,7.3,3.1,4.7,1.7,no,no,32,79,39,33,60,Just Pass
male,7.4,0.0,7.2,6.4,no,no,97,80,65,39,100,Nice
female,6.7,3.6,3.3,1.4,no,no,50,20,50,20,81,Just Pass
male,9.2,4.0,5.4,3.7,no,no,31,84,12,83,76,Decent
male,4.6,4.2,6.1,4.5,no,no,61,85,100,34,67,Decent
male,5.8,0.0,5.6,2.0,no,no,20,66,36,96,77,Decent
female,6.8,5.7,3.4,3.2,no,no,34,27,69,40,21,Just Pass
male,4.5,1.5,1.8,4.8,no,no,63,69,88,52,70,Decent
male,6.7,4.4,0.0,1.6,no,no,15,86,75,79,42,Decent
female,9.5,4.5,3.5,6.3,no,no,78,17,28,33,50,Just Pass
male,7.0,1.2,6.4,0.2,no,no,12,33,60,25,95,Just Pass
male,7.3,4.3,1.8,6.9,no,no,60,40,20,100,94,Decent
male,5.1,2.2,5.4,5.0,no,no,88,80,97,71,24,Nice
male,6.1,0.0,2.1,2.8,no,no,53,76,59,30,100,Decent
male,6.4,5.3,4.2,2.2,no,no,86,19,14,15,21,Worst
female,6.5,1.4,5.4,2.0,no,no,73,31,81,96,31,Decent
female,8.9,1.3,2.7,2.7,no,no,100,100,41,67,100,Good
female,7.8,2.2,4.3,2.9,no,no,37,84,20,20,53,Just Pass
male,5.3,3.5,3.2,5.5,no,no,100,100,58,100,92,Good
male,7.4,2.9,5.4,6.9,no,no,81,100,44,65,49,Decent
male,7.7,4.1,4.5,3.4,no,no,80,46,100,100,93,Good
female,8.7,0.3,4.1,1.3,no,no,99,21,45,37,92,Decent
male,9.4,1.5,7.1,1.9,no,no,67,74,69,64,63,Decent
male,5.5,2.8,5.3,2.6,no,no,94,43,100,25,78,Decent
female,5.8,6.8,2.6,0.9,no,no,43,31,28,32,85,Just Pass
male,5.1,2.8,3.8,0.6,no,no,59,42,35,17,45,Just Pass
female,6.6,5.2,3.8,7.2,no,yes,33,82,5,19,38,Just Pass
female,7.7,3.1,4.2,3.6,no,no,23,15,100,35,81,Decent
female,8.5,2.0,9.0,1.3,no,no,67,31,92,40,50,Decent
male,6.9,2.5,4.7,4.6,no,no,100,74,36,100,100,Good
male,6.5,2.7,0.0,0.6,no,no,73,83,28,0,0,Just Pass
male,7.2,4.2,2.9,0.8,no,no,70,87,87,45,36,Decent
male,5.7,5.7,0.1,1.4,no,no,54,45,43,52,61,Decent
male,10.1,3.7,3.3,6.3,no,no,48,17,69,80,56,Decent
male,4.6,5.4,0.0,2.5,no,no,8,28,56,67,17,Just Pass
male,7.3,1.1,2.3,0.0,no,no,22,91,76,76,41,Decent
female,10.0,2.2,1.0,5.4,no,no,12,61,100,100,100,Nice
male,7.0,1.6,4.8,2.4,no,no,77,82,90,85,64,Nice
female,6.7,3.6,4.0,0.0,no,no,78,23,90,79,30,Decent
male,6.5,2.3,4.6,2.4,no,no,34,10,90,61,75,Decent
male,6.7,4.5,3.8,4.0,no,no,15,63,10,71,67,Just Pass
male,9.1,1.1,1.2,3.8,yes,no,28,78,6,42,51,Just Pass
female,3.7,3.1,5.0,6.6,no,no,43,100,100,41,53,Decent
female,9.3,4.4,7.8,1.3,no,no,49,88,6,35,11,Just Pass
female,4.9,0.0,4.8,3.1,no,no,42,71,95,52,78,Decent
female,6.6,7.2,3.1,1.6,no,no,24,51,75,25,32,Just Pass
male,6.4,2.4,1.1,0.0,no,no,85,77,36,48,37,Decent
female,7.9,0.0,2.2,4.8,no,no,50,18,52,41,40,Just Pass
male,4.6,3.3,4.9,3.9,no,no,87,100,28,60,33,Decent
male,7.7,3.1,6.1,3.6,no,no,74,65,16,100,90,Decent
female,10.0,2.8,4.5,3.9,no,no,44,100,85,51,58,Decent
female,5.0,5.0,5.6,1.6,no,no,81,76,7,22,10,Just Pass
female,7.3,4.5,5.4,1.0,no,no,58,14,93,33,3,Just Pass
female,6.0,3.6,5.0,3.1,no,no,7,23,36,94,29,Just Pass
female,7.6,3.9,2.7,5.3,no,no,16,45,89,100,58,Decent
female,7.0,2.8,4.3,6.2,no,no,93,44,23,100,79,Decent
female,6.0,6.6,2.3,4.6,no,no,44,43,53,28,14,Just Pass
female,7.7,0.0,4.0,3.1,no,no,55,75,49,53,58,Decent
male,9.7,3.3,4.7,3.5,yes,no,8,37,0,91,1,Worst
female,6.7,3.1,7.4,3.0,no,no,27,17,77,44,15,Just Pass
female,8.1,4.6,1.4,0.9,no,no,72,90,87,6,79,Decent
male,5.1,1.3,5.0,3.0,no,no,95,55,14,41,78,Decent
female,5.6,0.0,7.0,0.3,no,no,67,96,38,100,89,Nice
male,7.7,3.3,5.5,2.8,no,no,37,15,78,49,26,Just Pass
male,9.2,3.6,5.7,6.3,no,yes,86,74,80,86,25,Decent
female,7.5,6.0,5.2,4.6,no,no,68,23,25,16,50,Just Pass
male,6.5,0.5,6.6,1.2,no,no,91,79,19,88,77,Decent
male,7.0,5.3,1.8,2.9,no,no,0,64,0,7,51,Worst
male,5.1,7.7,1.2,1.3,no,no,31,76,7,5,41,Worst
male,7.9,2.2,4.0,2.9,no,no,96,41,16,70,24,Just Pass
female,8.3,0.4,0.0,5.1,no,no,47,24,49,57,61,Just Pass
male,6.3,2.2,6.5,4.3,no,no,89,100,61,83,99,Good
female,6.3,3.0,6.4,8.0,yes,no,76,44,58,100,61,Decent
male,7.4,4.1,3.1,5.4,no,no,25,33,24,15,29,Worst
male,6.3,1.8,3.3,3.4,no,no,87,58,56,29,51,Decent
male,6.9,6.1,3.9,4.4,no,no,14,17,3,67,78,Just Pass
male,10.1,0.8,4.1,2.6,no,no,83,40,34,100,24,Decent
female,6.6,0.0,4.3,0.7,no,yes,82,21,19,62,41,Just Pass
female,6.5,5.2,5.1,5.6,no,no,100,38,22,57,100,Decent
male,6.0,0.0,3.7,5.0,no,no,100,65,100,94,58,Good
male,8.1,2.6,5.9,2.5,yes,no,47,32,14,14,0,Worst
female,6.7,9.2,4.9,3.5,no,no,61,71,69,0,57,Decent
male,6.0,3.0,2.8,5.5,no,no,85,100,60,70,17,Decent
male,9.0,0.8,6.7,4.7,no,no,22,32,69,100,41,Decent
male,9.1,2.9,1.3,0.1,no,no,5,77,59,38,0,Just Pass
female,6.1,2.9,3.8,3.5,no,no,67,100,12,64,25,Decent
female,4.2,3.3,5.9,2.7,no,no,5,73,12,47,90,Just Pass
female,8.5,4.3,2.6,5.2,no,no,98,100,40,59,81,Nice
male,6.0,0.9,4.6,5.1,no,no,67,52,60,100,53,Decent
male,8.2,6.4,5.1,5.6,no,no,33,91,50,55,97,Decent
female,4.0,3.5,2.3,0.8,no,no,32,60,60,0,59,Just Pass
female,8.3,4.5,3.9,1.4,no,no,83,30,0,77,42,Just Pass
female,5.2,1.7,3.7,5.2,no,no,100,86,100,77,22,Nice
female,8.1,5.6,2.9,1.8,no,no,6,45,12,68,68,Just Pass
male,7.0,2.5,8.6,0.0,no,no,83,24,30,96,43,Decent
female,5.6,3.6,2.5,4.1,no,no,64,24,97,35,37,Decent
male,6.4,1.1,6.0,1.9,no,no,69,82,11,61,39,Decent
female,8.0,1.0,3.2,6.6,no,no,99,93,100,82,22,Nice
male,7.2,4.4,1.8,3.6,no,no,24,55,5,36,76,Just Pass
female,7.9,2.1,4.2,3.3,no,no,63,60,22,94,24,Decent
female,10.0,1.3,5.3,2.3,no,no,42,29,35,80,63,Just Pass
female,4.7,1.7,5.8,6.2,no,no,30,63,64,94,22,Decent
female,9.4,4.4,7.1,3.7,no,no,20,97,61,90,72,Decent
male,7.2,1.7,9.9,2.2,no,no,30,100,27,42,53,Decent
female,5.7,2.8,4.5,1.4,no,no,64,69,10,77,66,Decent
male,5.0,3.0,2.7,2.9,no,yes,0,79,0,57,0,Worst
male,6.7,0.0,4.9,1.0,no,no,67,99,35,94,36,Decent
male,8.4,0.1,3.5,5.1,no,no,78,34,100,68,31,Decent
male,6.8,3.7,5.9,0.0,no,no,89,38,37,49,63,Decent
female,9.3,1.5,1.4,2.7,no,yes,43,0,57,0,0,Worst
male,4.8,5.1,8.7,4.2,no,no,100,58,31,97,73,Nice
male,7.0,4.9,5.7,3.7,yes,no,0,69,0,45,5,Worst
male,5.1,4.4,0.6,1.6,no,no,64,9,49,53,88,Decent
female,7.5,6.6,2.6,4.3,no,no,2,88,82,12,41,Just Pass
female,8.3,2.8,5.6,1.2,no,no,77,61,94,65,17,Decent
female,6.4,4.3,6.4,3.0,no,no,45,81,61,11,11,Just Pass
female,3.1,1.8,1.5,4.3,no,no,64,7,32,95,35,Just Pass
male,7.3,7.9,5.4,3.9,no,no,30,9,10,86,89,Just Pass
male,7.7,7.0,0.1,1.6,no,no,2,49,53,6,1,Worst
female,7.6,3.0,3.8,5.4,no,no,86,97,42,73,93,Nice
male,8.9,3.8,6.2,3.2,no,no,99,96,93,69,50,Good
male,5.4,5.7,2.9,4.5,no,no,21,71,63,83,83,Decent
male,8.0,2.7,1.0,6.1,no,no,100,33,98,88,100,Good
female,8.8,1.7,4.3,5.2,no,no,31,36,73,100,100,Decent
female,4.3,4.7,2.8,5.2,no,no,78,93,82,40,11,Decent
male,7.5,3.2,5.3,3.4,no,no,100,21,39,22,89,Decent
female,6.2,3.4,2.2,4.6,no,no,22,76,58,65,14,Just Pass
female,6.9,1.3,2.5,3.4,no,no,53,63,11,86,41,Decent
female,7.5,0.0,0.0,0.6,no,no,34,43,61,29,65,Just Pass
female,6.3,3.5,4.3,3.6,no,yes,21,27,36,6,27,Worst
female,6.0,4.8,3.7,3.5,no,no,79,98,79,84,60,Nice
male,7.1,2.5,1.6,4.2,no,no,74,94,80,83,100,Good
female,5.4,5.9,4.4,2.7,no,no,95,85,61,19,80,Decent
male,5.4,1.6,6.1,1.5,no,no,27,49,14,95,45,Just Pass
male,8.0,0.9,3.6,4.3,yes,no,55,11,91,14,60,Just Pass
female,5.3,2.9,4.5,0.4,no,no,44,99,1,10,4,Worst
male,8.0,2.8,4.5,5.9,no,yes,83,6,72,27,37,Just Pass
male,7.7,4.5,1.6,2.5,no,no,0,49,45,86,58,Just Pass
male,4.4,1.5,8.1,3.5,no,no,100,42,97,85,87,Good
female,6.0,5.7,3.1,4.1,yes,no,34,38,33,26,77,Just Pass
female,8.8,6.9,5.3,4.2,no,no,65,33,67,18,31,Just Pass
male,5.5,2.9,5.5,0.2,no,no,37,90,37,72,91,Decent
female,6.3,5.5,3.7,4.6,no,no,90,100,79,64,71,Nice
female,7.7,0.9,5.2,3.6,no,no,72,57,41,100,23,Decent
female,8.2,5.2,4.5,1.7,no,no,64,5,69,74,36,Just Pass
female,6.6,5.1,1.2,1.5,no,no,57,59,12,3,40,Just Pass
male,6.1,4.7,3.3,2.3,yes,no,21,22,57,57,20,Just Pass
male,9.1,3.0,2.8,0.4,no,no,4,95,26,22,8,Worst
female,9.6,0.0,3.1,6.4,no,no,100,31,50,100,78,Nice
female,8.5,1.7,1.4,6.0,no,no,43,26,96,16,28,Just Pass
male,7.1,1.7,6.3,3.9,no,no,100,85,97,39,100,Good
male,5.8,1.0,7.2,2.6,no,no,76,91,85,65,100,Good
female,5.8,3.2,6.0,2.6,no,no,43,55,100,15,55,Decent
male,7.8,2.2,6.5,4.5,no,no,76,44,32,51,23,Just Pass
female,7.6,1.4,3.3,6.5,no,no,84,50,46,69,75,Decent
female,9.1,0.9,2.7,1.9,no,yes,52,15,11,26,41,Worst
male,8.0,1.6,2.4,0.8,no,no,84,24,32,48,90,Decent
male,4.7,5.2,5.3,6.1,no,no,27,97,44,99,18,Decent
female,8.6,1.7,4.5,0.0,no,no,96,8,71,52,71,Decent
female,5.5,2.0,3.8,1.0,no,no,44,43,30,97,59,Decent
male,6.4,2.1,6.6,2.5,no,no,98,86,40,26,29,Decent
female,7.4,3.7,4.8,0.0,no,no,19,0,54,25,9,Worst
male,10.0,3.9,2.3,5.2,no,no,11,96,28,74,78,Decent
female,11.7,0.0,2.6,4.7,no,no,75,88,54,46,51,Decent
male,7.9,5.0,5.4,1.9,no,no,33,8,6,35,100,Just Pass
male,6.7,5.9,6.1,5.6,no,no,100,100,100,100,100,Excellent
male,7.8,0.9,5.1,5.9,no,no,33,71,54,76,79,Decent
female,8.3,1.1,7.8,2.8,no,no,21,82,100,50,81,Decent
female,6.5,2.1,7.3,2.1,no,no,16,100,64,89,27,Decent
male,9.7,1.5,4.9,7.5,no,no,47,100,48,33,100,Decent
female,7.3,3.4,2.3,4.4,no,no,65,48,27,64,53,Decent
male,7.7,0.0,1.4,3.5,no,no,62,35,81,21,64,Decent
male,8.0,0.8,3.2,5.7,no,no,54,44,100,36,100,Decent
female,7.6,6.1,5.5,3.6,no,no,11,79,21,9,3,Worst
female,8.3,1.1,7.7,2.0,no,no,37,100,25,100,63,Decent
male,6.1,5.5,4.8,3.2,no,no,21,10,41,7,65,Worst
female,6.2,3.7,6.3,5.1,no,no,89,16,54,66,30,Decent
female,5.3,0.0,3.5,0.0,no,no,82,87,85,27,11,Decent
male,7.7,4.3,5.2,2.4,no,no,81,42,50,42,57,Decent
male,8.2,2.8,5.6,5.8,no,no,100,45,24,67,72,Decent
female,7.7,2.1,0.0,2.0,no,no,88,18,92,45,33,Decent
male,9.5,3.5,3.2,6.1,no,no,63,48,51,88,100,Decent
male,7.0,3.9,5.9,5.8,no,no,57,100,82,100,46,Nice
female,8.0,4.4,4.5,2.9,no,no,95,100,70,34,55,Decent
male,5.4,5.4,1.6,1.9,no,no,55,27,0,0,12,Worst
male,6.4,3.8,0.0,2.4,no,no,26,93,0,86,0,Just Pass
female,8.0,0.2,3.3,8.3,no,no,85,58,37,100,71,Decent
female,8.3,2.1,3.9,6.7,no,no,100,100,100,63,72,Good
male,6.6,8.9,2.2,3.3,no,no,74,11,69,35,66,Decent
male,6.9,4.4,4.3,1.8,no,no,28,82,13,14,44,Just Pass
female,4.7,7.7,5.0,3.2,no,no,91,31,57,43,23,Just Pass
female,6.5,5.8,5.3,3.5,no,no,100,22,64,33,63,Decent
female,8.3,3.5,0.0,0.5,no,no,15,85,0,91,30,Just Pass
female,7.9,3.6,1.4,3.2,no,no,91,23,44,20,25,Just Pass
male,7.8,2.9,3.4,5.6,no,no,100,100,85,51,100,Good
female,7.1,0.0,5.1,0.0,no,no,10,17,25,68,60,Just Pass
female,7.0,3.0,5.0,4.7,no,no,80,15,99,48,34,Decent
